year_bought,km_driven,transmission,owner,selling_price
2019,8000,Manual,First Owner,755000
2017,60000,Manual,First Owner,720000
2006,200000,Manual,Third Owner,229999
2018,20000,Manual,First Owner,1100000
2013,100000,Manual,First Owner,400000
2015,70000,Manual,Second Owner,350000
2012,68000,Manual,First Owner,159000
2017,38000,Manual,First Owner,550000
2013,80000,Manual,First Owner,335000
2014,72000,Manual,First Owner,185000
2012,75000,Manual,First Owner,229999
2014,43000,Manual,First Owner,225000
2007,120000,Manual,Second Owner,250000
2015,100000,Manual,First Owner,400000
2014,163000,Manual,First Owner,470000
2018,25000,Automatic,First Owner,300000
2011,25000,Manual,First Owner,145000
2007,90000,Manual,Second Owner,100000
2014,70000,Manual,Second Owner,500000
2010,98000,Manual,Second Owner,130000
2010,81925,Manual,First Owner,240000
2013,80000,Manual,Second Owner,150000
2017,40000,Manual,First Owner,270000
2014,90000,Manual,First Owner,400000
2012,46000,Manual,First Owner,200000
2012,80000,Manual,First Owner,550000
2018,35000,Manual,First Owner,325000
2017,82080,Automatic,First Owner,860000
2012,200000,Manual,First Owner,600000
2009,70000,Manual,First Owner,125000
2000,40000,Manual,Third Owner,60000
2010,120000,Manual,Third Owner,300000
2007,60000,Manual,Third Owner,190000
2013,110000,Manual,First Owner,400000
2011,97000,Manual,Second Owner,260000
2017,30000,Manual,First Owner,400000
2010,40000,Manual,First Owner,250000
2019,10000,Manual,First Owner,600000
2010,52047,Manual,First Owner,175000
2011,200000,Manual,Third Owner,450000
2019,15000,Automatic,Second Owner,350000
2018,50000,Manual,First Owner,800000
2011,70000,Manual,Second Owner,250000
2019,10000,Manual,First Owner,600000
2017,90000,Manual,First Owner,600000
2016,40000,Manual,First Owner,130000
2006,62009,Manual,Second Owner,90000
2017,33100,Manual,Second Owner,595000
2014,40000,Manual,Second Owner,190000
1999,120000,Manual,Second Owner,50000
2007,80000,Manual,First Owner,95000
2016,70000,Manual,First Owner,1000000
2006,220000,Manual,Second Owner,220000
2010,50000,Manual,First Owner,400000
2015,45000,Manual,Second Owner,315000
2014,110000,Manual,First Owner,1000000
2014,49000,Manual,First Owner,500000
2018,35000,Automatic,First Owner,1600000
2017,160000,Manual,First Owner,500000
2007,180000,Manual,Third Owner,70000
2007,60000,Manual,Second Owner,105000
2008,110000,Manual,Third Owner,400000
2004,60000,Manual,Third Owner,80000
2016,30000,Manual,First Owner,300000
2017,40000,Manual,First Owner,409999
2009,70000,Manual,First Owner,250000
2010,120000,Manual,Second Owner,250000
2012,80000,Manual,Third Owner,215000
2015,120000,Manual,First Owner,1400000
2018,20000,Manual,First Owner,475000
2018,22000,Manual,First Owner,475000
2008,35000,Manual,Second Owner,75000
2013,120000,Manual,Second Owner,200000
2019,8000,Manual,First Owner,575000
2011,40000,Manual,Second Owner,150000
2018,10000,Manual,First Owner,850000
2019,30000,Manual,First Owner,350000
2011,54000,Manual,Second Owner,550000
2017,80577,Manual,First Owner,330000
2017,25000,Manual,First Owner,1044999
2011,127500,Manual,Second Owner,300000
2015,40903,Manual,First Owner,235000
2011,60000,Manual,Third Owner,120000
2004,46000,Manual,First Owner,130000
2004,22288,Manual,Second Owner,275000
2011,180000,Manual,Second Owner,270000
2015,30000,Manual,Second Owner,500000
2015,61690,Manual,First Owner,400000
2015,64484,Manual,First Owner,600000
2012,90000,Automatic,Second Owner,1350000
2013,75976,Manual,Second Owner,400000
2011,70000,Manual,Second Owner,220000
2012,85962,Manual,Second Owner,300000
2018,120000,Manual,First Owner,250000
2015,120000,Manual,First Owner,600000
2012,75000,Automatic,Second Owner,285000
2009,57035,Manual,First Owner,350000
2011,70000,Manual,Third Owner,170000
2015,45000,Manual,First Owner,229999
2013,72104,Manual,Second Owner,500000
2011,15000,Manual,First Owner,75000
2016,30000,Manual,First Owner,600000
2011,80000,Manual,First Owner,220000
2009,164000,Manual,Second Owner,150000
2006,124439,Manual,Second Owner,65000
2006,77000,Manual,Second Owner,120000
2014,90000,Manual,First Owner,240000
2017,30000,Manual,First Owner,390000
2012,50000,Manual,First Owner,180000
2012,80000,Manual,Second Owner,320000
2018,5000,Manual,First Owner,310000
2018,24000,Automatic,First Owner,420000
2019,10000,Manual,First Owner,550000
2016,78000,Manual,Third Owner,550000
2018,50000,Manual,First Owner,760000
2001,100000,Manual,Second Owner,43000
2018,20000,Manual,First Owner,250000
2019,1250,Manual,First Owner,500000
2015,17152,Manual,First Owner,380000
2019,5000,Automatic,First Owner,1850000
2012,77000,Manual,First Owner,350000
2008,90000,Manual,Second Owner,195000
2011,80000,Manual,Second Owner,225000
2015,65000,Manual,First Owner,1125000
2011,80000,Manual,First Owner,133000
2013,24005,Manual,First Owner,200000
2018,20000,Manual,First Owner,940000
2014,120000,Manual,First Owner,400000
2009,120000,Manual,Second Owner,120000
2015,80000,Manual,First Owner,625000
2005,80000,Manual,First Owner,110000
2012,100000,Manual,First Owner,490000
2009,120000,Manual,Second Owner,140000
2011,149000,Manual,Second Owner,175000
2005,65000,Manual,Second Owner,90000
2009,100000,Manual,Second Owner,275000
2011,65000,Manual,Second Owner,300000
2018,19000,Manual,Second Owner,270000
2010,80000,Manual,Second Owner,130000
2015,30000,Manual,First Owner,275000
2012,109000,Manual,First Owner,352000
2012,90000,Manual,First Owner,180000
2012,90000,Manual,First Owner,150000
2011,65000,Manual,Second Owner,300000
2010,110000,Manual,Second Owner,300000
2007,120000,Manual,First Owner,225000
2014,44000,Manual,First Owner,600000
2015,80000,Manual,First Owner,500000
2018,5000,Manual,First Owner,900000
2016,61000,Manual,First Owner,600000
2011,100000,Manual,Second Owner,450000
2009,27633,Manual,First Owner,270000
2010,100000,Manual,Third Owner,310000
2012,100000,Manual,First Owner,250000
2019,12586,Manual,First Owner,700000
2018,38083,Manual,First Owner,650000
2012,55328,Manual,First Owner,400000
2012,81632,Manual,First Owner,425000
2016,155201,Manual,First Owner,600000
2013,93283,Manual,First Owner,600000
2009,217871,Manual,First Owner,300000
2012,90165,Manual,First Owner,450000
2014,101504,Manual,First Owner,750000
2010,86017,Manual,Second Owner,325000
2013,85036,Manual,Second Owner,900000
2006,91086,Manual,Second Owner,180000
2013,160254,Manual,Second Owner,350000
2013,125531,Manual,Second Owner,600000
2019,60000,Manual,First Owner,900000
2006,100000,Manual,First Owner,350000
2013,90000,Manual,Third Owner,280000
2009,120000,Manual,Second Owner,225000
2014,82000,Manual,First Owner,520000
2016,60000,Manual,First Owner,509999
2019,24000,Manual,First Owner,556000
2014,120000,Manual,First Owner,225000
2013,65000,Manual,First Owner,325000
2013,65000,Manual,First Owner,365000
2015,84000,Manual,First Owner,850000
2013,75000,Manual,First Owner,350000
2007,50000,Manual,First Owner,225000
2011,50000,Manual,First Owner,135000
2007,49000,Manual,First Owner,140000
2016,560000,Manual,First Owner,665000
2015,14365,Manual,First Owner,275000
2017,41000,Automatic,First Owner,2750000
2013,65000,Manual,First Owner,484999
2015,65000,Manual,First Owner,565000
2013,61083,Manual,First Owner,425000
2013,75000,Manual,First Owner,925000
2012,72000,Manual,First Owner,565000
2014,65000,Manual,First Owner,525000
2017,55000,Manual,First Owner,1650000
2015,21000,Manual,Second Owner,295000
2012,66363,Automatic,Second Owner,2050000
2018,11700,Automatic,First Owner,1475000
2017,10000,Automatic,First Owner,1100000
2014,100000,Automatic,Second Owner,4400000
2016,7104,Manual,First Owner,670000
2015,45974,Manual,First Owner,750000
2015,55340,Manual,First Owner,760000
2017,20000,Automatic,Second Owner,850000
2015,61585,Manual,First Owner,390000
2016,39415,Automatic,Second Owner,450000
2014,29654,Manual,First Owner,425000
2016,64672,Manual,First Owner,770000
2015,54634,Automatic,Second Owner,1150000
2015,66521,Manual,First Owner,775000
2018,23974,Automatic,Second Owner,1725000
2016,43000,Automatic,First Owner,2150000
2013,1000,Manual,Second Owner,450000
2018,10000,Automatic,First Owner,3800000
2013,86000,Automatic,First Owner,1580000
2019,30000,Automatic,First Owner,4950000
2016,52600,Manual,First Owner,535000
2012,110000,Manual,Second Owner,225000
2017,19890,Automatic,First Owner,550000
2016,7104,Manual,First Owner,670000
2015,11918,Manual,First Owner,625000
2017,10510,Automatic,First Owner,520000
2016,41000,Manual,First Owner,239000
2017,47162,Automatic,First Owner,2600000
2015,45974,Manual,First Owner,750000
2012,49824,Manual,First Owner,229999
2013,58500,Automatic,First Owner,1300000
2005,56580,Manual,First Owner,80000
2012,52000,Manual,First Owner,385000
2015,55340,Manual,First Owner,760000
2017,46507,Manual,First Owner,600000
2013,1000,Manual,Second Owner,450000
2018,10000,Automatic,First Owner,3800000
2013,86000,Automatic,First Owner,1580000
2019,30000,Automatic,First Owner,4950000
2016,52600,Manual,First Owner,535000
2012,110000,Manual,Second Owner,225000
2017,19890,Automatic,First Owner,550000
2016,7104,Manual,First Owner,670000
2015,11918,Manual,First Owner,625000
2017,10510,Automatic,First Owner,520000
2016,41000,Manual,First Owner,239000
2017,47162,Automatic,First Owner,2600000
2015,45974,Manual,First Owner,750000
2012,49824,Manual,First Owner,229999
2013,58500,Automatic,First Owner,1300000
2005,56580,Manual,First Owner,80000
2012,52000,Manual,First Owner,385000
2015,55340,Manual,First Owner,760000
2017,46507,Manual,First Owner,600000
2013,1000,Manual,Second Owner,450000
2018,10000,Automatic,First Owner,3800000
2013,86000,Automatic,First Owner,1580000
2019,30000,Automatic,First Owner,4950000
2016,52600,Manual,First Owner,535000
2012,110000,Manual,Second Owner,225000
2017,19890,Automatic,First Owner,550000
2016,7104,Manual,First Owner,670000
2015,11918,Manual,First Owner,625000
2017,10510,Automatic,First Owner,520000
2016,41000,Manual,First Owner,239000
2017,47162,Automatic,First Owner,2600000
2015,45974,Manual,First Owner,750000
2012,49824,Manual,First Owner,229999
2013,58500,Automatic,First Owner,1300000
2005,56580,Manual,First Owner,80000
2012,52000,Manual,First Owner,385000
2015,55340,Manual,First Owner,760000
2017,46507,Manual,First Owner,600000
2013,1000,Manual,Second Owner,450000
2018,10000,Automatic,First Owner,3800000
2013,86000,Automatic,First Owner,1580000
2019,30000,Automatic,First Owner,4950000
2016,52600,Manual,First Owner,535000
2012,110000,Manual,Second Owner,225000
2017,19890,Automatic,First Owner,550000
2016,7104,Manual,First Owner,670000
2015,11918,Manual,First Owner,625000
2017,10510,Automatic,First Owner,520000
2016,41000,Manual,First Owner,239000
2017,47162,Automatic,First Owner,2600000
2015,45974,Manual,First Owner,750000
2012,49824,Manual,First Owner,229999
2013,58500,Automatic,First Owner,1300000
2005,56580,Manual,First Owner,80000
2012,52000,Manual,First Owner,385000
2015,55340,Manual,First Owner,760000
2017,46507,Manual,First Owner,600000
2013,50000,Manual,Second Owner,350000
2014,30000,Manual,First Owner,114999
2013,50000,Manual,Second Owner,380000
1995,100000,Manual,Second Owner,95000
2016,35000,Manual,First Owner,900000
2012,90000,Manual,Second Owner,200999
2014,11451,Manual,First Owner,229999
2019,60000,Manual,First Owner,800000
2012,172000,Manual,Second Owner,150000
2018,60000,Manual,First Owner,600000
2005,150000,Manual,First Owner,150000
2009,66000,Manual,First Owner,150000
2019,5000,Manual,First Owner,380000
2006,66508,Manual,Second Owner,80000
2007,55000,Manual,Second Owner,225000
2012,29900,Manual,First Owner,75000
2017,3000,Manual,First Owner,1600000
2012,85000,Manual,First Owner,185000
2011,50000,Manual,First Owner,425000
2010,120000,Manual,Second Owner,100000
2008,90000,Manual,Third Owner,140000
2017,8000,Automatic,First Owner,710000
2015,7900,Automatic,First Owner,450000
2017,50000,Manual,First Owner,210000
2016,25000,Manual,First Owner,270000
2009,20000,Manual,First Owner,110000
2018,17500,Manual,First Owner,540000
2008,25000,Manual,First Owner,145000
2013,206500,Manual,First Owner,360000
2013,88600,Manual,First Owner,250000
2012,80000,Manual,First Owner,110000
2008,100000,Manual,Fourth & Above Owner,250000
2011,186000,Manual,Second Owner,150000
2010,60000,Manual,First Owner,140000
2019,11000,Manual,First Owner,925000
2017,30000,Manual,First Owner,969999
2007,80000,Manual,Third Owner,90000
2001,60000,Manual,Third Owner,55000
2007,100000,Manual,Fourth & Above Owner,155000
2019,15000,Manual,First Owner,900000
2011,90000,Manual,First Owner,135000
2012,120000,Manual,First Owner,180000
2013,100000,Manual,Second Owner,495000
2009,138000,Manual,Third Owner,400000
2008,110000,Manual,Second Owner,250000
2015,120000,Manual,Fourth & Above Owner,138000
2011,70000,Automatic,Second Owner,311000
2015,70000,Manual,First Owner,190000
2011,140000,Manual,First Owner,311000
2009,15000,Manual,First Owner,300000
2018,20000,Manual,First Owner,600000
2009,100000,Manual,First Owner,550000
2015,70000,Automatic,First Owner,600000
2018,5000,Manual,First Owner,195000
2013,27974,Manual,First Owner,58000
2018,40000,Manual,First Owner,183000
2007,80000,Manual,First Owner,95000
2013,38000,Manual,First Owner,250000
2013,38000,Manual,First Owner,250000
2014,35000,Manual,First Owner,400000
2012,60000,Manual,Second Owner,409999
2004,120000,Manual,Second Owner,120000
2018,18000,Automatic,First Owner,600000
2016,10000,Manual,First Owner,600000
2015,90000,Manual,Third Owner,825000
2016,80000,Manual,Second Owner,625000
2020,1400,Manual,First Owner,700000
2011,60000,Manual,First Owner,160000
2011,60000,Manual,Third Owner,114999
2009,53000,Manual,First Owner,150000
2010,100000,Manual,First Owner,250000
2012,86000,Manual,Second Owner,390000
2015,100000,Manual,First Owner,650000
2016,30000,Manual,First Owner,600000
2011,120000,Manual,First Owner,250000
2011,60000,Manual,Second Owner,229999
2016,50000,Manual,Second Owner,299000
2010,124000,Manual,Second Owner,330000
2012,100000,Manual,Third Owner,180000
2017,42000,Manual,First Owner,475000
2015,100000,Manual,First Owner,325000
2016,28205,Manual,First Owner,639000
2017,32670,Automatic,First Owner,415000
2016,30093,Automatic,First Owner,1199000
2013,56228,Manual,First Owner,525000
2013,59319,Manual,First Owner,425000
2016,39503,Manual,First Owner,699000
2013,35299,Manual,First Owner,325000
2011,51687,Manual,First Owner,275000
2011,76259,Automatic,First Owner,269000
2013,44049,Manual,First Owner,399000
2017,45087,Manual,First Owner,475000
2011,41125,Manual,First Owner,249000
2014,42215,Automatic,First Owner,1549000
2011,54206,Manual,First Owner,254999
2012,52547,Manual,First Owner,269000
2014,59110,Manual,First Owner,665000
2014,54565,Manual,First Owner,299000
2010,47564,Manual,Second Owner,265000
2010,45143,Manual,Second Owner,211000
2013,61624,Automatic,Second Owner,599000
2007,195000,Manual,Third Owner,55000
2014,50000,Manual,First Owner,550000
2018,68000,Automatic,First Owner,4000000
2010,120000,Manual,Second Owner,220000
2019,20000,Manual,First Owner,500000
2010,30000,Manual,First Owner,140000
2013,60000,Manual,First Owner,325000
2010,90000,Manual,Third Owner,210000
2008,90000,Manual,Second Owner,110000
2019,25000,Manual,First Owner,1200000
2017,40000,Manual,First Owner,229999
2012,110000,Manual,Second Owner,225000
2006,132000,Manual,First Owner,165000
2018,10980,Automatic,First Owner,525000
2018,20629,Manual,First Owner,325000
2018,50000,Manual,First Owner,1500000
2015,30000,Automatic,First Owner,400000
2015,69782,Manual,First Owner,550000
2003,54000,Manual,First Owner,98000
2013,63654,Manual,First Owner,900000
